,W30s15,W30s30,W60s15,W60s30,W60s60,W90s15,W90s30,W90s60,W120s15,W120s30,W120s60
S2,0.024390243902439025,0.45,0.0,0.14285714285714285,0.1,0.024390243902439025,0.05,0.0,0.0,0.14285714285714285,0.2727272727272727
S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
S4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S6,1.0,1.0,1.0,1.0,1.0,0.9772727272727273,0.9545454545454546,1.0,0.8863636363636364,0.9545454545454546,1.0
S7,1.0,1.0,0.9767441860465116,1.0,1.0,0.9534883720930233,1.0,1.0,1.0,1.0,1.0
S8,0.9111111111111111,0.9090909090909091,0.9555555555555556,0.9565217391304348,0.9090909090909091,0.8888888888888888,0.9545454545454546,0.9090909090909091,1.0,0.9565217391304348,1.0
S9,0.7441860465116279,0.7727272727272727,0.7674418604651163,0.7619047619047619,0.8181818181818182,0.7906976744186046,0.8181818181818182,0.9090909090909091,0.813953488372093,0.8095238095238095,0.8
S10,0.9387755102040817,0.64,0.5510204081632653,0.5833333333333334,0.75,0.6326530612244898,0.64,0.5833333333333334,0.6530612244897959,0.625,0.6666666666666666
S11,0.9777777777777777,0.8181818181818182,0.8888888888888888,0.9130434782608695,0.9090909090909091,0.9555555555555556,0.9545454545454546,1.0,0.9555555555555556,0.9565217391304348,0.9166666666666666
S13,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S15,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.020833333333333332,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
