,raw,z,raw+z,pct,robust_z,mixed (V2-bucket)
S10,0.5833333333333334,0.75,0.75,0.8333333333333334,1.0,0.8333333333333334
S11,1.0,1.0,1.0,0.9090909090909091,1.0,0.7272727272727273
S13,1.0,1.0,1.0,1.0,0.8181818181818182,0.9090909090909091
S15,1.0,0.8181818181818182,1.0,1.0,0.45454545454545453,0.8181818181818182
S16,1.0,1.0,0.9090909090909091,0.8181818181818182,1.0,1.0
S17,1.0,0.6666666666666666,0.75,0.75,0.5833333333333334,0.75
S2,0.9,0.9,0.7,0.1,1.0,0.7
S3,0.7272727272727273,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.2727272727272727,0.2727272727272727
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,1.0,1.0,1.0,1.0,1.0,1.0
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,1.0,0.9090909090909091,1.0,1.0,0.9090909090909091,1.0
S9,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.7272727272727273
