n_features,mean_f1,std_f1,mean_recall,min_subject_recall,n_below_0_5,elapsed_sec
5,0.8544069449642205,0.13996651057584536,0.876839826839827,0.5454545454545454,0,10.1
8,0.8715075935907427,0.12040275651611063,0.8833333333333334,0.5454545454545454,0,9.2
10,0.8925367339918423,0.11957115213127197,0.891017316017316,0.5454545454545454,0,13.1
12,0.8909297754189395,0.11851836266032849,0.8904761904761905,0.5454545454545454,0,12.3
15,0.9180903269011648,0.09493969241915046,0.8981601731601732,0.5454545454545454,0,12.8
18,0.9257549335523683,0.1000199151880988,0.9106060606060605,0.5454545454545454,0,15.7
20,0.9286789101605554,0.09451954280427684,0.9106060606060605,0.5454545454545454,0,10.0
25,0.9227879837416787,0.10315134867032796,0.9046536796536796,0.5454545454545454,0,10.3
30,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,10.6
33,0.9258832218369167,0.10360269753309745,0.9106060606060605,0.5454545454545454,0,23.1
