feature,mean_abs_shap
scr_recovery_time_mean,3.617905561482437
hrv_median_rr,1.3526483788991017
scr_peak_count,1.0297220267323681
scl_range,1.0186189039301665
hrv_pnn50,0.8738371557001442
scl_max,0.8540811145261874
temp_slope,0.7089854060497297
temp_max,0.7034861987877556
hrv_sdsd,0.5255589334230485
acc_jerk_mag_mean,0.4893713612916003
hrv_min_rr,0.4504008255435249
acc_y_std,0.3174120819826191
acc_z_std,0.29744317698109557
acc_sma,0.22209873478315778
scr_rise_time_mean,0.21036893267303047
scr_amplitude_sum,0.1951683083836072
hrv_lf_hf_ratio,0.14262563624646973
acc_magnitude_mean,0.12983276057855933
hrv_mean_hr,0.11447369789339308
acc_magnitude_max,0.09958325563926974
acc_x_std,0.08846559309151658
eda_skewness,0.0857301982667038
hrv_total_power,0.08242698418690984
scl_slope,0.06776870295347093
temp_std,0.06694741518155682
hrv_hf_power,0.06575136948079881
hrv_lf_power,0.0412797449323187
acc_magnitude_std,0.03732336858438481
scr_amplitude_max,0.03551275875399211
acc_jerk_mag_std,0.02858065770621667
scr_amplitude_mean,0.02842654646198354
hrv_max_rr,0.016200755095673536
eda_kurtosis,0.012959940776575663
