feature,stability_score,mean_mi,std_mi
scl_max,1.0,0.193,0.016
scr_recovery_time_mean,1.0,0.376,0.008
acc_magnitude_std,1.0,0.149,0.01
hrv_sdsd,1.0,0.196,0.008
hrv_median_rr,1.0,0.143,0.012
hrv_pnn50,1.0,0.253,0.012
hrv_max_rr,1.0,0.161,0.012
scr_amplitude_mean,1.0,0.178,0.009
scr_amplitude_sum,1.0,0.232,0.012
scr_peak_count,1.0,0.247,0.011
scr_amplitude_max,1.0,0.19,0.007
scr_rise_time_mean,0.929,0.157,0.016
scl_range,0.714,0.138,0.014
acc_jerk_mag_std,0.714,0.133,0.008
hrv_min_rr,0.643,0.135,0.014
acc_jerk_mag_mean,0.357,0.128,0.01
temp_max,0.357,0.126,0.008
scl_slope,0.214,0.119,0.011
temp_slope,0.071,0.111,0.012
acc_y_std,0.0,0.052,0.007
acc_sma,0.0,0.022,0.007
acc_magnitude_max,0.0,0.117,0.008
acc_magnitude_mean,0.0,0.063,0.008
acc_z_std,0.0,0.055,0.009
hrv_mean_hr,0.0,0.102,0.012
acc_x_std,0.0,0.04,0.007
temp_std,0.0,0.051,0.008
eda_skewness,0.0,0.026,0.007
hrv_lf_hf_ratio,0.0,0.091,0.009
hrv_hf_power,0.0,0.088,0.01
hrv_lf_power,0.0,0.078,0.009
eda_kurtosis,0.0,0.015,0.008
hrv_total_power,0.0,0.07,0.011
