,HGB,LightGBM,XGBoost,RandomForest,SVM-RBF,LogReg
S10,0.75,0.75,0.75,0.5,0.6666666666666666,0.75
S11,1.0,1.0,1.0,1.0,0.8181818181818182,0.9090909090909091
S13,1.0,1.0,1.0,1.0,0.9090909090909091,1.0
S15,1.0,1.0,1.0,1.0,0.9090909090909091,0.7272727272727273
S16,1.0,0.9090909090909091,0.9090909090909091,0.6363636363636364,1.0,0.9090909090909091
S17,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.75,0.75
S2,0.9,0.9,0.9,0.8,0.9,0.9
S3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.45454545454545453
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,1.0,1.0,1.0,1.0,1.0,1.0
S7,1.0,1.0,1.0,0.9,0.8,1.0
S8,1.0,1.0,1.0,0.9090909090909091,1.0,1.0
S9,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
