threshold,f1,recall,precision,accuracy
0.05,0.9006211180124224,0.9415584415584416,0.8630952380952381,0.9536903039073806
0.1,0.9201277955271565,0.935064935064935,0.9056603773584906,0.9638205499276411
0.15,0.9225806451612903,0.9285714285714286,0.9166666666666666,0.9652677279305355
0.2,0.9315960912052117,0.9285714285714286,0.934640522875817,0.9696092619392185
0.25,0.9311475409836065,0.922077922077922,0.9403973509933775,0.9696092619392185
0.3,0.9311475409836065,0.922077922077922,0.9403973509933775,0.9696092619392185
0.35,0.9337748344370861,0.9155844155844156,0.9527027027027027,0.9710564399421129
0.39999999999999997,0.9368770764119602,0.9155844155844156,0.9591836734693877,0.9725036179450073
0.44999999999999996,0.94,0.9155844155844156,0.9657534246575342,0.9739507959479016
0.49999999999999994,0.9364548494983278,0.9090909090909091,0.9655172413793104,0.9725036179450073
0.5499999999999999,0.9364548494983278,0.9090909090909091,0.9655172413793104,0.9725036179450073
0.6,0.9328859060402684,0.9025974025974026,0.9652777777777778,0.9710564399421129
0.65,0.9328859060402684,0.9025974025974026,0.9652777777777778,0.9710564399421129
0.7,0.9328859060402684,0.9025974025974026,0.9652777777777778,0.9710564399421129
0.75,0.9328859060402684,0.9025974025974026,0.9652777777777778,0.9710564399421129
0.7999999999999999,0.9328859060402684,0.9025974025974026,0.9652777777777778,0.9710564399421129
0.85,0.9324324324324325,0.8961038961038961,0.971830985915493,0.9710564399421129
0.9,0.9324324324324325,0.8961038961038961,0.971830985915493,0.9710564399421129
0.95,0.9288135593220339,0.8896103896103896,0.9716312056737588,0.9696092619392185
