subject,n_test,n_stress,best_f1_inner,outer_f1,outer_recall,outer_precision,outer_accuracy,param_learning_rate,param_max_iter,param_max_depth,param_min_samples_leaf,param_l2_regularization,param_max_leaf_nodes,param_max_features
S10,51,12,0.939507885650294,0.8571428571428571,0.75,1.0,0.9411764705882353,0.11084718510242918,714,4,5,0.00010401398985174112,10,0.6066855791400844
S11,51,11,0.9267563742528809,0.9166666666666666,1.0,0.8461538461538461,0.9607843137254902,0.00888038684762801,538,5,6,0.2764490647703588,72,0.5932489763663593
S13,51,11,0.9059719142645972,0.88,1.0,0.7857142857142857,0.9411764705882353,0.16182997569349772,727,9,12,6.229119789473843,48,0.4128779336057996
S15,49,11,0.9210675977588284,1.0,1.0,1.0,1.0,0.49196311507405277,120,12,9,0.0743559736833254,19,0.9995690770128904
S16,48,11,0.9349254644386489,0.9523809523809523,0.9090909090909091,1.0,0.9791666666666666,0.0202903448206693,999,12,10,1.0826140146482877,137,0.8705633377446149
S17,49,12,0.9476610259738099,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9591836734693877,0.14949500231919666,847,9,25,0.19996669682526258,91,0.5249646421175636
S2,48,10,0.8753821865272806,0.8888888888888888,0.8,1.0,0.9583333333333334,0.007287112575728065,239,10,6,2.0089300963150147e-05,110,0.5672510776241682
S3,49,11,0.9552761949290396,0.7368421052631579,0.6363636363636364,0.875,0.8979591836734694,0.034723988233501056,477,2,8,0.011296428686104077,95,0.3018426509321036
S4,49,11,0.9274563086104006,1.0,1.0,1.0,1.0,0.16227437007924125,973,5,19,4.189590767515161e-05,178,0.30497563547468276
S5,50,11,0.9344512343324354,1.0,1.0,1.0,1.0,0.07320361170808434,813,6,5,0.04797270760729835,97,0.611080657821586
S6,50,11,0.948972305939154,0.9166666666666666,1.0,0.8461538461538461,0.96,0.03937379499954189,778,2,24,0.4716186489118628,93,0.32823514504089213
S7,47,10,0.931482213078579,1.0,1.0,1.0,1.0,0.014363581765193579,669,7,24,0.0002765892318811023,16,0.6301207911016733
S8,48,11,0.9260365353037766,1.0,1.0,1.0,1.0,0.19186710500791054,814,6,7,4.011514522806012,57,0.7712139579552089
S9,51,11,0.9171279377730992,0.7777777777777778,0.6363636363636364,1.0,0.9215686274509803,0.27031137751527196,850,8,23,1.885837197638795e-05,140,0.647028919112345
